uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph,average internal vertex degree in cluster graph,average external vertex degree in cluster graph
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,19,0.3990983229817066,0.15463614750691312,0.26453542084918247,0.1209157421816912,17,10,58,10,42,5.235294117647059,4.7
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,20,0.3201712230941422,0.1388192015650504,0.25954105430579616,0.12096610187291613,17,10,58,10,42,5.235294117647059,4.7
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,0,0.407922793447722,0.15429062626984827,0.19903670802355783,0.10184719690564192,17,8,56,8,40,5.470588235294118,4.375
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,1,0.27793474414880537,0.1335713656504158,0.2006265733740455,0.09924172864453203,17,9,57,9,41,5.470588235294118,4.333333333333333
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,2,0.3151337832855377,0.13068105568884916,0.22854280254755738,0.09914116522833902,16,10,55,10,40,5.4375,4.3
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,3,0.36857210841394544,0.14749062907615706,0.2623663863033577,0.10699306526816577,16,11,56,11,41,5.4375,4.2727272727272725
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,4,0.378920103700573,0.17980332988740882,0.2762215791109037,0.10746694825903527,16,11,56,11,41,5.5,4.181818181818182
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,5,0.37616584683065335,0.16598158546706,0.2890770509299153,0.11153321474262709,17,10,58,10,42,5.470588235294118,4.3
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,6,0.404245667905851,0.1674832386727992,0.28592890015750244,0.11056575518858977,17,11,59,11,43,5.470588235294118,4.2727272727272725
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,7,0.4130963692754856,0.1748488204180816,0.3029755614216719,0.11337955974439363,17,10,58,10,42,5.470588235294118,4.3
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,8,0.4402551703241614,0.17047018018700366,0.31396879518304965,0.11273934333203017,16,11,56,11,41,5.5625,4.090909090909091
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,9,0.45814209330095346,0.1768780905354386,0.31495746265733104,0.11091828681770215,16,11,56,11,41,5.5625,4.090909090909091
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,10,0.4154981418280333,0.17316003740081318,0.312855974269979,0.11590329923977497,17,10,58,10,42,5.588235294117647,4.1
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,11,0.45833598920883944,0.19734243540759042,0.31239628386037255,0.1228558280690035,18,10,61,10,44,5.5,4.3
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,12,0.472291878796813,0.1943780496038592,0.33863732499383026,0.1242841819234447,19,10,64,10,46,5.526315789473684,4.3
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,13,0.38476874804669464,0.16456473613559197,0.3465645321894978,0.1232134587813493,19,10,64,10,46,5.473684210526316,4.4
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,14,0.394817238745331,0.15028295225703273,0.3454527986097711,0.12178779415038483,19,10,64,10,46,5.526315789473684,4.3
F01518ED-BE50-4AE9-A0CE-04FC4543FAAA,25,0.25,0.0,15,0.3796087216709407,0.13237576678088817,0.3515036988865844,0.12272035071783657,19,9,63,9,45,5.526315789473684,4.333333333333333
